link,foreignId,make,model,year,price,condition,kilometres,transmission,drivetrain,fueltype
14571945,1499636289,Subaru,Impreza,2007,$2000,Used,236406,Automatic,All-wheel drive (AWD),Gas
14571948,1499636330,Acura,RSX,2002,N/A,Used,389000,Automatic,N/A,N/A
14572045,1499638080,Porsche,Cayenne,2008,$10999,Used,215000,Automatic,All-wheel drive (AWD),Gas
14572047,1499638175,Dodge,Journey,2010,$4999,Used,170000,Automatic,Front-wheel drive (FWD),Gas
14572050,1499638276,Jeep,Grand Cherokee,2016,$58499,Used,10000,Automatic,Four-wheel drive,Gas
14572051,1499570303,Porsche,Cayenne,2012,$34000,Used,76000,Automatic,All-wheel drive (AWD),Gas
14572057,1499638371,BMW,3 Series,2018,$455,Used,28000,Automatic,All-wheel drive (AWD),Gas
14572151,1499640035,Audi,S4,2014,$26000,Used,134000,Automatic,All-wheel drive (AWD),Gas
14572152,1499640064,Honda,CR-V,2006,$4500,Used,287000,Automatic,N/A,N/A
14572154,1499640146,Mazda,3,2012,$6500,Used,103995,Automatic,Front-wheel drive (FWD),Gas
14572155,1499640153,Lexus,ES,2007,$8400,Used,145000,Automatic,Front-wheel drive (FWD),Gas
14572158,1499640172,Honda,Civic,2009,$3900,Used,215000,Manual,Front-wheel drive (FWD),N/A
14572159,22339797,Honda,Pilot,2015,$22995,Used,85000,Automatic,Four-wheel drive,Gas
14572165,1499640249,Plymouth,Barracuda,1968,$800,Used,123,N/A,N/A,N/A
14572255,1499641713,Ford,Cougar,1982,$3000,Used,76000,Automatic,Rear-wheel drive (RWD),N/A
14572260,1499641791,Mercedes-Benz,CLA,2014,$18500,Used,87500,Automatic,All-wheel drive (AWD),Gas
14572261,1499641800,Toyota,Corolla,2016,$15500,Used,67631,N/A,Front-wheel drive (FWD),Gas
14572263,1499641834,Ford,F 350,2008,$30000,Used,148000,Automatic,Four-wheel drive,Diesel
14572265,1499641864,Porsche,Panamera,2015,$110000,Used,17100,N/A,N/A,N/A
14572360,1499643538,Jeep,Grand Cherokee,2008,$3500,Used,260000,Automatic,Four-wheel drive,Diesel
14572362,1499643543,Chrysler,200,2012,$6499,Used,152000,Automatic,Front-wheel drive (FWD),Gas
14572364,1499643605,Volkswagen,Other,2008,$18500,Used,186000,Automatic,All-wheel drive (AWD),Gas
14572365,1499643621,Ford,Mustang,1997,$5350,Used,164000,Automatic,Rear-wheel drive (RWD),Gas
14572366,1499643629,Hyundai,Other,2014,$16700,Used,108000,Manual,Rear-wheel drive (RWD),Gas
14572367,1499643662,Suzuki,Vitara,1999,$3450,Not roadworthy,205000,N/A,N/A,N/A
14572370,1499643699,Lexus,IS,2008,$6200,Used,210371,Automatic,Rear-wheel drive (RWD),Gas
14572373,1499643709,Honda,Civic,2015,$8000,Used,202235,Manual,N/A,Gas
14572465,1499645248,RAM,2500,1994,$7500,Used,296000,Automatic,N/A,N/A
14572469,1499645288,Toyota,Camry,2005,$6500,Used,11715,Automatic,Front-wheel drive (FWD),Gas
14572470,1499645305,Honda,Civic,2007,$3000,Used,300000,Manual,Front-wheel drive (FWD),Gas
14572472,1499645317,Dodge,Journey,2012,$4200,Used,205,N/A,Front-wheel drive (FWD),Gas
14572473,1499645323,Toyota,Camry,2002,$500,Used,281500,N/A,N/A,N/A
14572475,1499645361,Honda,CR-V,2010,$6990,Used,252000,Automatic,All-wheel drive (AWD),Gas
14572478,1499645433,Chevrolet,Equinox,2014,$12800,Used,69000,Automatic,Front-wheel drive (FWD),Gas
14572479,1499645444,Mitsubishi,RVR,2011,$7000,Used,178480,Automatic,Front-wheel drive (FWD),Gas
14572580,1499646992,Ford,Mustang,2005,N/A,Used,203000,Manual,Rear-wheel drive (RWD),Gas
14572582,1499647019,Dodge,Sprinter,2005,N/A,Not roadworthy,275000,N/A,N/A,N/A
14572584,1499647020,Ford,Escape,2011,$3500,Used,167500,Automatic,Front-wheel drive (FWD),Gas
14572585,1499647053,Nissan,370Z,2019,$30000,Used,6700,Automatic,Rear-wheel drive (RWD),Gas
14572588,1499647119,Honda,Pilot,2019,N/A,Used,23000,Automatic,All-wheel drive (AWD),Gas
14572589,1499647178,Isuzu,Other,1988,N/A,Used,174000,Manual,All-wheel drive (AWD),N/A
14572591,1499647276,Dodge,Charger,2011,$5999,Used,177000,N/A,N/A,N/A
14572685,1499648494,BMW,3 Series,2011,$14000,Used,88949,Automatic,All-wheel drive (AWD),Gas
14572687,1499648498,GMC,Acadia,2008,$5000,Used,250000,Automatic,N/A,N/A
